feature_set;algorithm;silhouette_score;calinski_harabasz_score;davies_bouldin_score;n_features;n_samples
T0;SpectralClustering;0.43354408748676077;15.959.597.833.391.400;0.5043948429982337;1;1386
T0;KMeans;0.5346078882812112;2.986.421.441.554.630;0.5598687714225582;1;1386
T0;AgglomerativeClustering;0.5299576622727015;2.696.621.522.146.110;0.539830373876934;1;1386
T0;GaussianMixture;0.5375801213611275;29.530.143.970.508.300;0.5515490307811981;1;1386
T0;Birch;0.46791487125194;19.308.953.166.407.200;0.5265200881909362;1;1386
T1;SpectralClustering;0.07235270944389836;49.483.431.766.962.500;24.168.543.818.801.300;8;1005
T1;KMeans;0.08693508623627917;9.463.978.732.797.950;263.170.697.542.206;8;1005
T1;AgglomerativeClustering;0.04635021699739847;5.779.773.041.799.880;34.775.679.991.782.000;8;1005
T1;GaussianMixture;0.0896143746524891;9.436.029.771.436.650;26.654.580.886.001.300;8;1005
T1;Birch;0.04760424213213062;5.771.921.230.801.230;33.742.668.571.366.400;8;1005
T2;SpectralClustering;0.1573678706531074;11.085.050.127.445.100;17.467.504.150.912.300;6;62
T2;KMeans;0.1656197526050176;11.798.415.550.755.200;17.558.005.429.995.100;6;62
T2;AgglomerativeClustering;0.14236240696165867;1.044.309.110.782.730;19.037.657.502.847.400;6;62
T2;GaussianMixture;0.16970021802561086;1.178.195.994.968.200;1.776.477.544.445.700;6;62
T2;Birch;0.13795080112009642;1.001.359.919.837.650;20.006.805.255.822.200;6;62
T0+T1;SpectralClustering;0.005977183142647759;5.570.374.631.089.980;11.791.215.047.649.900;9;1004
T0+T1;KMeans;0.08140624501724046;8.695.354.559.401.060;2.749.175.490.401.660;9;1004
T0+T1;AgglomerativeClustering;0.04521314792557832;5.573.281.257.173.920;34.391.766.613.716.400;9;1004
T0+T1;GaussianMixture;0.08321108299733868;8.230.579.187.692.080;28.353.860.489.934.500;9;1004
T0+T1;Birch;0.037026580630217736;4.868.247.977.999.620;35.517.532.953.552.600;9;1004
T1+T2;SpectralClustering;0.0332938911303385;25.714.795.196.805.600;22.548.283.632.908.800;14;40
T1+T2;KMeans;0.06667760323894743;37.568.343.049.875.400;2.534.300.877.267.040;14;40
T1+T2;AgglomerativeClustering;0.06369298745029042;35.697.026.195.849.900;25.716.804.169.832.700;14;40
T1+T2;GaussianMixture;0.06667760323894743;37.568.343.049.875.400;2.534.300.877.267.040;14;40
T1+T2;Birch;0.06369298745029042;35.697.026.195.849.900;25.716.804.169.832.700;14;40
T0+T1+T2;SpectralClustering;0.03057166828145801;23.967.810.404.257.600;31.567.779.707.678.100;15;40
T0+T1+T2;KMeans;0.04453830419450508;3.156.024.966.190.160;2.972.046.861.373.360;15;40
T0+T1+T2;AgglomerativeClustering;0.05085337757973966;32.368.628.001.920.900;2.817.944.402.523.140;15;40
T0+T1+T2;GaussianMixture;0.04453830419450508;3.156.024.966.190.160;2.972.046.861.373.360;15;40
T0+T1+T2;Birch;0.05085337757973966;32.368.628.001.920.900;2.817.944.402.523.140;15;40
